         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         Q5SMB8,      33.12,  0.3354630,      15.92,  0.2970402,       0.00,  0.2509127,       1.27,  0.0661713,       0.00,  0.0439869,      13.38,  0.3046389,       1.27,  0.1745501,  0.0598191, -0.5496765,   157
         Q5SMB7,      46.38,  0.4363199,      60.87,  0.5344576,      68.12,  0.5973526,      18.84,  0.3066753,       1.45,  0.2979782,      36.23,  0.4708353,      10.14,  0.3410444, -0.0329531, -0.1062191,    69
         Q5SMB6,      38.61,  0.3945817,      13.92,  0.3234207,       3.48,  0.2353568,       2.85,  0.1979447,       0.95,  0.2004438,       8.23,  0.2193343,       0.95,  0.2226208,  0.0059641, -0.1466015,   316
         Q5SMB5,      22.74,  0.2753336,      13.70,  0.2587734,       0.58,  0.1883688,       2.62,  0.0659778,       0.58,  0.0548820,       7.58,  0.2165024,       3.50,  0.1452449,  0.1184539, -0.4830714,   343
         Q5SMB4,      52.44,  0.4986344,      69.72,  0.5665997,      71.34,  0.5567610,       2.44,  0.1914561,       1.22,  0.2169253,      14.43,  0.3453045,      17.07,  0.3959470, -0.0986477, -0.2413592,   492
         Q5SMB3,      21.91,  0.2719793,      20.68,  0.3471654,       3.09,  0.2438135,       8.02,  0.2733036,       3.40,  0.2893481,       8.02,  0.2163975,       2.16,  0.2330322,  0.1277488, -0.2183073,   324
         Q5SMB2,      21.04,  0.2616847,      14.55,  0.2557665,       8.83,  0.2067173,       0.78,  0.0426465,       0.00,  0.0219543,       6.23,  0.1973544,       0.52,  0.1299011,  0.1352231, -0.4850489,   385
         Q5SMB1,      85.00,  0.7514786,     100.00,  0.8007617,     100.00,  0.8130463,      20.00,  0.3859963,      21.25,  0.4079796,      72.50,  0.6826749,      75.00,  0.6403230, -0.3536325,  0.0349156,    80
         Q5SMA9,      31.15,  0.3258533,      23.68,  0.3628815,       0.00,  0.2397816,      11.84,  0.2993250,      13.40,  0.3235661,       5.92,  0.2123788,       2.49,  0.2540007,  0.0720043, -0.1695251,   321
         Q5SMA8,      11.99,  0.1587359,       8.72,  0.2102817,       0.00,  0.1275928,       1.36,  0.0329714,       0.00,  0.0175207,       6.27,  0.1594740,       1.63,  0.0964973,  0.2343256, -0.4680924,   367
         Q5SMA7,      20.58,  0.2691342,      13.18,  0.3306232,       0.00,  0.1989120,       8.04,  0.2879662,       2.57,  0.2960316,       5.47,  0.1854254,       3.22,  0.2281968,  0.1292794, -0.1970133,   311
         Q5SMA6,      14.88,  0.1916803,      28.46,  0.3181279,      25.33,  0.3126733,       1.31,  0.0402026,       0.00,  0.0245933,       6.27,  0.2145768,       1.04,  0.1315302,  0.2013299, -0.5172961,   383
         Q5SMA5,      17.66,  0.2151808,      13.77,  0.2648794,      11.43,  0.2250596,       3.12,  0.0572743,       1.30,  0.0448643,       9.09,  0.1999428,       3.64,  0.1303570,  0.1798984, -0.4531316,   385
         Q5SMA4,      34.15,  0.3593586,      45.12,  0.3924047,      20.73,  0.3503201,       0.00,  0.0307683,       0.00,  0.0081537,      21.95,  0.3999698,       2.44,  0.1984425,  0.0385473, -0.6157373,    82
         Q5SMA2,      60.10,  0.4963902,      30.57,  0.4336503,      30.57,  0.4351369,       3.63,  0.2799753,       2.07,  0.2966799,      15.54,  0.2946593,       1.55,  0.3002258, -0.0960191, -0.1762109,   193
         Q5SM99,       1.57,  0.0815467,       3.13,  0.1464933,       0.00,  0.1498354,       0.00,  0.0054590,       0.00,  0.0038528,       3.66,  0.1413677,       0.00,  0.0631199,  0.3112516, -0.6080822,   383
         Q5SM98,      41.63,  0.4441620,       8.84,  0.3048333,      11.86,  0.3056257,       1.16,  0.1258630,       0.00,  0.1353176,       6.28,  0.2352270,       0.70,  0.2075671, -0.0439086, -0.2715426,   430
         Q5SM96,      68.32,  0.6466666,      61.39,  0.5870224,      62.38,  0.6421302,      11.88,  0.2573822,       0.99,  0.2469414,      58.42,  0.5910346,      50.50,  0.4951963, -0.2455446, -0.1270666,   101
         Q5SM95,      35.29,  0.3953973,      30.25,  0.3966911,      18.49,  0.2899488,       8.40,  0.1714983,       0.00,  0.1395815,      25.21,  0.3233461,       8.40,  0.2377524,  0.0043140, -0.1363805,   119
         Q5SM94,      44.26,  0.4196117,      22.95,  0.3742504,      24.92,  0.3434339,       9.84,  0.2249437,       6.89,  0.2304291,      10.16,  0.2531768,      13.44,  0.3076411, -0.0208147, -0.3074431,   305
         Q5SM93,      44.49,  0.4651197,      31.72,  0.3963616,      19.82,  0.3691658,      13.22,  0.2600629,       9.69,  0.2685059,      13.22,  0.3073243,       5.73,  0.2828957, -0.0645658, -0.2454754,   227
         Q5SM92,      58.80,  0.5318775,      38.38,  0.4552459,      49.30,  0.5009585,       4.58,  0.2323437,       2.46,  0.2436078,      19.01,  0.3457027,       5.63,  0.3014629, -0.1323560, -0.1162122,   284
         Q5SM91,      19.73,  0.2734899,      23.13,  0.3783556,      19.39,  0.3225220,       3.40,  0.1600664,       0.00,  0.1676226,       6.80,  0.2473624,       0.68,  0.2044828,  0.1272732, -0.2520311,   294
         Q5SM90,      26.73,  0.3427634,      43.56,  0.4490942,      57.92,  0.4723996,      11.88,  0.2670797,      12.38,  0.2769898,      21.78,  0.3399628,       0.00,  0.2793149,  0.0574258, -0.1691549,   202
         Q5SM88,      44.23,  0.4554382,      34.83,  0.4395214,      36.99,  0.4244913,       7.05,  0.1859725,       3.13,  0.2029070,      19.37,  0.2983447,      22.31,  0.3344459, -0.0552750, -0.1691930,   511
         Q5SM86,      75.00,  0.6115537,      31.03,  0.3969752,      28.45,  0.4129905,      15.52,  0.2894113,      14.66,  0.3010612,      30.17,  0.4248316,      10.34,  0.3373054, -0.2117574, -0.1977027,   116
         Q5SM84,      48.88,  0.4791777,      32.74,  0.4039406,      26.91,  0.3648041,       6.28,  0.2551224,       3.59,  0.2632819,       8.07,  0.2750257,       1.79,  0.2794249, -0.0807597, -0.1515159,   223
         Q5SM83,      12.66,  0.1661385,      13.92,  0.2711737,       7.59,  0.2571375,       5.06,  0.0561013,       0.00,  0.0128659,      29.11,  0.3510001,       6.33,  0.1428799,  0.2295402, -0.4660853,    79
         Q5SM82,      38.68,  0.4472901,      60.38,  0.4996522,      56.60,  0.5235017,      12.26,  0.3019887,      11.32,  0.2580923,      38.68,  0.4091701,      39.62,  0.4066159, -0.0478424, -0.1744860,   106
         Q5SM79,      19.60,  0.2349866,      14.77,  0.2385612,       8.81,  0.2119488,       0.00,  0.0184599,       0.00,  0.0130649,       4.83,  0.2019438,       0.28,  0.1178361,  0.1586972, -0.5802732,   352
         Q5SM78,      18.26,  0.2902384,      32.88,  0.4571739,      34.25,  0.4569304,       8.68,  0.2341242,       0.00,  0.1812257,      16.44,  0.2799039,       6.85,  0.2404443,  0.1095325, -0.2123930,   219
         Q5SM77,      26.05,  0.2619906,      21.85,  0.2354343,       1.68,  0.2001449,      10.92,  0.1126833,       0.00,  0.0461477,      26.89,  0.2855669,      10.92,  0.1569704,  0.1299443, -0.4994076,   119
         Q5SM76,      34.66,  0.3910573,      25.77,  0.4119073,      13.50,  0.3458324,       1.53,  0.2288511,       7.98,  0.2789125,       5.21,  0.2473132,       0.31,  0.2596736,  0.0100985, -0.2695651,   326
         Q5SM75,      37.23,  0.4601263,      47.87,  0.4499341,      47.87,  0.4379793,       8.51,  0.1738596,       0.00,  0.1169011,      30.85,  0.4161574,      10.64,  0.2694964, -0.0609596, -0.1110050,    94
         Q5SM74,      43.34,  0.4347008,      24.57,  0.3865404,      16.04,  0.3236083,       6.83,  0.2189175,       3.75,  0.2419147,      15.02,  0.2699794,      11.26,  0.3126102, -0.0324486, -0.2532182,   293
         Q5SM73,      13.27,  0.1977666,       4.74,  0.2150039,       4.74,  0.1844542,       1.90,  0.0622607,       0.00,  0.0314777,       7.58,  0.1859877,       1.42,  0.1154161,  0.1973065, -0.5429506,   211
         Q5SM72,      54.02,  0.4855194,      45.98,  0.4915938,      54.46,  0.5177541,       4.02,  0.2285085,       2.23,  0.2594582,      12.05,  0.3298161,       0.00,  0.2991494, -0.0843020, -0.2673923,   224
         Q5SM71,      46.24,  0.4526682,      33.87,  0.4223433,      41.13,  0.3803250,      12.10,  0.2546456,      12.10,  0.2816436,      16.13,  0.2937483,      26.08,  0.3475624, -0.0503327, -0.1667822,   372
         Q5SM70,      36.78,  0.4773376,      37.93,  0.4818306,      80.46,  0.5840629,       5.75,  0.2183264,       0.00,  0.1889509,      28.74,  0.4254082,       0.00,  0.2986422, -0.0754068, -0.2257826,    87
         Q5SM65,      30.96,  0.3698027,      27.62,  0.3997548,      22.59,  0.3835285,       2.09,  0.1880092,       1.26,  0.1989877,      12.13,  0.2734894,       2.93,  0.2383407,  0.0309727, -0.2356666,   239
         Q5SM64,      64.10,  0.5148154,      70.51,  0.6566399,      84.62,  0.6692591,      43.59,  0.4756103,      46.15,  0.4997897,      51.28,  0.5792937,      64.10,  0.5659014, -0.1184881,  0.0041752,    78
         Q5SM63,      60.71,  0.5753175,      33.04,  0.3932740,      35.71,  0.4295935,       7.14,  0.1627205,       0.00,  0.1226404,      25.89,  0.3765027,      27.68,  0.3433416, -0.1751503, -0.0899446,   112
         Q5SM62,      60.85,  0.5570588,      58.49,  0.5527741,      56.13,  0.5776981,      19.34,  0.3146595,      13.68,  0.3590212,      30.19,  0.4063137,      37.74,  0.4612542, -0.1572762, -0.0141057,   212
         Q5SM61,      10.53,  0.2604252,      14.57,  0.3304721,       7.29,  0.2567257,       4.86,  0.1964765,       3.64,  0.1896149,      10.12,  0.2028590,       4.86,  0.1966413,  0.1360665, -0.1481570,   247
         Q5SM44,      45.40,  0.4484576,      20.69,  0.3390515,      24.71,  0.3325406,       4.60,  0.1531992,       4.02,  0.1750352,      11.21,  0.2937807,      14.37,  0.2903440, -0.0473896, -0.3655274,   348
         Q5SM42,      33.66,  0.4016655,      15.61,  0.3603284,      18.05,  0.3044704,       6.34,  0.1583790,       0.00,  0.1457028,      19.02,  0.2966510,       7.80,  0.2271210, -0.0023062, -0.1625577,   205
         Q5SM41,      40.72,  0.4523015,      13.17,  0.3632537,       8.38,  0.3160445,       2.40,  0.1652186,       1.20,  0.1594750,      11.98,  0.2663542,       0.00,  0.2344338, -0.0503053, -0.2984884,   167
         Q5SM40,      28.52,  0.3388315,       4.58,  0.2770411,       4.58,  0.2307999,       2.46,  0.1539267,       0.00,  0.1447133,       6.34,  0.2045815,       2.11,  0.1865158,  0.0616580, -0.3196335,   284
         Q5SM39,      58.10,  0.4498034,      36.19,  0.4496667,      34.29,  0.4254934,      14.29,  0.2742343,       0.95,  0.2549584,      29.52,  0.3905122,      10.48,  0.3031959, -0.0499717, -0.2251112,   105
         Q5SM38,      24.57,  0.3586894,      22.29,  0.3903833,      15.43,  0.2795246,      10.86,  0.2734680,       8.57,  0.3121976,      20.57,  0.3167411,      14.29,  0.3218340,  0.0414568, -0.1681303,   175
         Q5SM36,       5.67,  0.1137055,       5.67,  0.1684581,       0.00,  0.0923730,       1.42,  0.0209362,       0.00,  0.0045267,      10.64,  0.1962632,       2.13,  0.0839816,  0.2828348, -0.5904484,   141
         Q5SM34,      47.58,  0.4789976,      43.52,  0.4689172,      37.91,  0.4787703,       6.58,  0.2643260,       6.77,  0.3113367,      17.60,  0.3171120,      27.47,  0.3865768, -0.0766752, -0.1772281,   517
         Q5SM32,       8.22,  0.1273486,       4.51,  0.1572703,       0.00,  0.1081442,       0.27,  0.0157379,       0.00,  0.0080220,       5.57,  0.1524511,       0.53,  0.0768050,  0.2616842, -0.5266213,   377
         Q5SM30,      45.45,  0.4978303,      14.88,  0.3425356,       0.00,  0.3080775,       5.79,  0.2084405,       0.00,  0.1637614,      20.66,  0.3318582,       2.48,  0.2574044, -0.0945053, -0.1160952,   121
         Q5SM29,      35.04,  0.3821347,      19.83,  0.3444719,      18.29,  0.3172275,       2.39,  0.1705761,       1.54,  0.1975514,       8.72,  0.2358320,       1.88,  0.2217610,  0.0178793, -0.1639961,   585
         Q5SM26,      53.85,  0.5115544,      42.86,  0.4777104,      51.10,  0.4988714,       6.59,  0.2399022,       6.04,  0.2796387,      19.78,  0.3391447,      19.78,  0.3911371, -0.1102464, -0.1295918,   182
         Q5SM24,      27.80,  0.3158473,      20.68,  0.3805289,      22.37,  0.2791297,      12.54,  0.2135262,      11.86,  0.2144707,      11.53,  0.2431505,      15.59,  0.2744421,  0.0840477, -0.1942299,   295
         Q5SM22,      42.51,  0.4836504,      51.50,  0.5075313,      50.30,  0.4888388,       4.19,  0.2540751,       5.99,  0.2838634,      17.07,  0.3148390,      21.26,  0.3887998, -0.0824910, -0.2309631,   334
         Q5SM21,      22.85,  0.2851168,      22.85,  0.3536499,      11.59,  0.2303282,      11.26,  0.2304106,       4.30,  0.2224659,      10.93,  0.2281065,       1.99,  0.2199584,  0.1113386, -0.1691395,   302
         Q5SM20,      45.43,  0.4512677,      40.38,  0.4323320,      38.49,  0.4364966,       5.99,  0.1926863,       5.05,  0.2161295,      11.67,  0.3036622,      14.20,  0.3387625, -0.0488631, -0.2365607,   317
         Q5SM18,     100.00,  0.8330055,     100.00,  0.8186252,     100.00,  0.7672198,      22.58,  0.3300178,       1.61,  0.3093316,      82.26,  0.7688813,      90.32,  0.6378469, -0.4307090,  0.3427776,    62
         Q5SM17,      73.42,  0.6379972,      79.75,  0.6831401,     100.00,  0.6758534,      15.19,  0.3222899,       6.33,  0.2879225,      58.23,  0.6022516,      25.32,  0.4222669, -0.2388144,  0.0122068,    79
         Q5SM12,      45.58,  0.4826081,      60.54,  0.5662336,      65.65,  0.5503988,      16.33,  0.3254586,      17.69,  0.3691145,      19.05,  0.3448196,      26.87,  0.4397724, -0.0819105, -0.1969005,   294
         Q5SM11,      46.54,  0.4586937,      16.98,  0.3435239,       0.00,  0.2486494,       5.66,  0.1972642,       0.00,  0.2131452,      12.58,  0.2613691,       3.14,  0.2456660, -0.0594775, -0.2843888,   159
         Q5SM10,      40.43,  0.4311235,      12.34,  0.3373227,      16.60,  0.3232091,       5.11,  0.1941694,       0.43,  0.2065721,      10.21,  0.2754929,       8.51,  0.2946484, -0.0306404, -0.2830278,   235
         Q5SM08,      72.73,  0.6526508,      67.53,  0.6291996,      72.08,  0.6945800,      23.38,  0.3817440,      24.03,  0.4287083,      43.51,  0.4951730,      60.39,  0.5470092, -0.2505561, -0.0404265,   154
         Q5SM07,      55.24,  0.5501658,      56.83,  0.4945181,      53.65,  0.4771155,      18.10,  0.3156486,      17.46,  0.3470277,      22.86,  0.3469930,      36.19,  0.4219114, -0.1480669, -0.2282080,   315
         Q5SM06,      34.68,  0.3591969,       8.06,  0.3023961,       0.00,  0.1894302,       6.45,  0.1982113,       0.00,  0.1843850,      15.32,  0.2531002,       4.84,  0.2162149,  0.0410651, -0.3107679,   124
         Q5SM05,      32.18,  0.3850938,      17.16,  0.3556080,      29.21,  0.3322090,       5.12,  0.2209269,       4.79,  0.2395341,       5.12,  0.2220297,       0.33,  0.2371986,  0.0152640, -0.2216787,   606
         Q5SM04,      84.42,  0.7023616,     100.00,  0.7785537,     100.00,  0.7605330,      22.08,  0.3276039,       9.09,  0.3604560,      55.84,  0.6114610,      80.52,  0.5901617, -0.2956860, -0.0450264,    77
         Q5SM02,      59.86,  0.5454545,      40.14,  0.4865655,      28.57,  0.4549406,       5.44,  0.1886286,       0.00,  0.1604235,      25.17,  0.4002686,       0.00,  0.2968901, -0.1470465, -0.1381685,   147
         Q5SLZ8,      42.60,  0.5129930,      35.43,  0.4698428,      38.12,  0.4955738,       4.48,  0.2024131,       1.35,  0.2212559,      19.28,  0.3343793,       2.69,  0.2901473, -0.1108045, -0.1790471,   223
         Q5SLZ7,      35.73,  0.4186423,      34.40,  0.4250107,      35.73,  0.3975928,       4.53,  0.2171980,       1.07,  0.2165533,      14.13,  0.2940198,      13.07,  0.3281693, -0.0191908, -0.1857577,   375
         Q5SLZ6,      29.17,  0.3613515,      86.11,  0.6813554,      66.67,  0.6351354,      19.44,  0.3861972,       1.39,  0.3332542,      69.44,  0.6253797,      52.78,  0.5037788,  0.0389371, -0.0204281,    72
         Q5SLZ5,      65.84,  0.5769484,      45.27,  0.5187400,      61.73,  0.6171107,       9.88,  0.3143518,       9.88,  0.3592476,      27.57,  0.3841316,      34.16,  0.4617550, -0.1752862, -0.1039296,   243
         Q5SLZ4,      53.51,  0.4409342,      11.40,  0.3078129,       0.00,  0.3149571,       2.63,  0.1457912,       1.75,  0.1180716,      21.05,  0.3440781,       0.00,  0.2261147, -0.0418013, -0.2787433,   114
         Q5SLZ3,      46.88,  0.4850372,      44.38,  0.5087811,      40.00,  0.4508736,      33.12,  0.4401967,      31.25,  0.4792448,      33.12,  0.4050019,      38.12,  0.4615226, -0.0845699,  0.0450834,   160
         Q5SLZ2,      50.30,  0.4834943,      12.43,  0.3942656,      35.50,  0.4204239,       7.10,  0.2323663,       0.00,  0.2206991,      14.20,  0.3246781,       2.96,  0.2759173, -0.0819497, -0.1662567,   169
         Q5SLZ1,      33.55,  0.3429796,      12.99,  0.3433293,       3.45,  0.2346843,       7.24,  0.2521469,       6.09,  0.2903447,       3.62,  0.1953807,       1.15,  0.2373635,  0.0560880, -0.1293752,   608
         Q5SLZ0,      31.66,  0.3561922,      20.06,  0.3433695,      11.60,  0.3005694,       5.64,  0.1892380,       2.19,  0.2050215,      11.91,  0.2422491,      15.05,  0.2727734,  0.0432975, -0.2879333,   319
         Q5SLY9,       9.09,  0.1197064,       8.39,  0.2721517,       0.00,  0.1470841,       4.90,  0.1072965,       0.00,  0.0514467,      13.99,  0.2338101,       4.20,  0.1307352,  0.2725957, -0.3808689,   143
         Q5SLY8,      11.48,  0.1198219,      10.93,  0.1758764,       4.92,  0.1609411,       3.83,  0.0572804,       0.00,  0.0288680,      12.02,  0.1785546,       6.56,  0.0934002,  0.2650869, -0.4817064,   183
         Q5SLY7,      39.80,  0.4658222,      16.33,  0.3682803,       0.00,  0.2889991,       9.18,  0.2333255,       0.00,  0.2032445,      23.47,  0.3171554,       4.08,  0.2646380, -0.0650738, -0.1584924,    98
         Q5SLY6,      22.92,  0.3435781,      12.03,  0.3467963,       4.30,  0.2840771,       4.87,  0.2123756,       0.86,  0.2272061,       8.31,  0.2258308,       1.72,  0.2259645,  0.0565448, -0.2811887,   349
         Q5SLY5,      28.27,  0.3241040,      16.40,  0.3421121,       9.46,  0.2331789,       7.34,  0.2557151,       9.26,  0.2816313,       3.42,  0.1968083,       2.11,  0.2333950,  0.0745354, -0.1046793,   994
